yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB8C6I	Entry	Metal binding	Keywords	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Developmental stage	Interacts with	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Cross-reference (BioGrid)	Cross-reference (KEGG)	Cross-reference (EcoGene)	yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB644J
lpd	P0A9P0		3D-structure;Acetylation;Cell inner membrane;Cell membrane;Complete proteome;Cytoplasm;Direct protein sequencing;Disulfide bond;FAD;Flavoprotein;Glycolysis;Membrane;NAD;Oxidoreductase;Redox-active center;Reference proteome	2-oxoglutarate metabolic process [GO:0006103]; cell redox homeostasis [GO:0045454]; glycine decarboxylation via glycine cleavage system [GO:0019464]; glycolytic process [GO:0006096]; oxidation-reduction process [GO:0055114]; pyruvate metabolic process [GO:0006090]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; dihydrolipoyl dehydrogenase activity [GO:0004148]; disulfide oxidoreductase activity [GO:0015036]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]; 2-oxoglutarate metabolic process [GO:0006103]; cell redox homeostasis [GO:0045454]; glycine decarboxylation via glycine cleavage system [GO:0019464]; glycolytic process [GO:0006096]; oxidation-reduction process [GO:0055114]; pyruvate metabolic process [GO:0006090]; response to oxidative stress [GO:0006979]	dihydrolipoyl dehydrogenase activity [GO:0004148]; disulfide oxidoreductase activity [GO:0015036]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]	GO:0004148; GO:0005737; GO:0005829; GO:0005886; GO:0006090; GO:0006096; GO:0006103; GO:0006979; GO:0008270; GO:0009055; GO:0015036; GO:0016020; GO:0019464; GO:0042802; GO:0045454; GO:0050660; GO:0055114		Itself; P06959; P75989; P39346; P0AFG6; P03018; P0AAR3; P77721; P52037		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16079137}. Cell inner membrane {ECO:0000269|PubMed:16079137}; Peripheral membrane protein {ECO:0000269|PubMed:16079137}.			4261370;	ecj:JW0112;eco:b0116;	EG10543;	
yacH	P36682		Complete proteome;Reference proteome												4263143;	ecj:JW0113;eco:b0117;	EG12315;	
acnB	P36683	METAL 710 710 Iron-sulfur (4Fe-4S). {ECO:0000269|PubMed:11992126}.; METAL 769 769 Iron-sulfur (4Fe-4S). {ECO:0000269|PubMed:11992126}.; METAL 772 772 Iron-sulfur (4Fe-4S). {ECO:0000269|PubMed:11992126}.	3D-structure;4Fe-4S;Complete proteome;Direct protein sequencing;Iron;Iron-sulfur;Lyase;Metal-binding;RNA-binding;Reference proteome;Tricarboxylic acid cycle	glyoxylate cycle [GO:0006097]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; regulation of translation [GO:0006417]; tricarboxylic acid cycle [GO:0006099]	cytosol [GO:0005829]	cytosol [GO:0005829]; 2-methylisocitrate dehydratase activity [GO:0047456]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; glyoxylate cycle [GO:0006097]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; regulation of translation [GO:0006417]; tricarboxylic acid cycle [GO:0006099]	2-methylisocitrate dehydratase activity [GO:0047456]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]	GO:0003729; GO:0003730; GO:0003994; GO:0005829; GO:0006097; GO:0006099; GO:0006417; GO:0019629; GO:0046872; GO:0047456; GO:0051539							4261902;849264;	ecj:JW0114;eco:b0118;	EG12316;	
cueO	P36649	METAL 101 101 Copper 1; type 2.; METAL 103 103 Copper 2; type 3.; METAL 141 141 Copper 2; type 3.; METAL 143 143 Copper 3; type 3.; METAL 443 443 Copper 4; type 1.; METAL 446 446 Copper 1; type 2.; METAL 448 448 Copper 3; type 3.; METAL 499 499 Copper 3; type 3.; METAL 500 500 Copper 4; type 1.; METAL 501 501 Copper 2; type 3.; METAL 505 505 Copper 4; type 1.; METAL 510 510 Copper 4; type 1.	3D-structure;Complete proteome;Copper;Direct protein sequencing;Metal-binding;Oxidoreductase;Periplasm;Reference proteome;Repeat;Signal	detoxification of copper ion [GO:0010273]; response to copper ion [GO:0046688]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; copper ion binding [GO:0005507]; ferroxidase activity [GO:0004322]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxidoreductase activity, oxidizing metal ions [GO:0016722]; oxidoreductase activity, oxidizing metal ions, oxygen as acceptor [GO:0016724]; detoxification of copper ion [GO:0010273]; response to copper ion [GO:0046688]	copper ion binding [GO:0005507]; ferroxidase activity [GO:0004322]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxidoreductase activity, oxidizing metal ions [GO:0016722]; oxidoreductase activity, oxidizing metal ions, oxygen as acceptor [GO:0016724]	GO:0004322; GO:0005507; GO:0010273; GO:0016682; GO:0016722; GO:0016724; GO:0030288; GO:0042597; GO:0046688				SUBCELLULAR LOCATION: Periplasm. Note=It is exported via the Tat pathway.			4261957;	ecj:JW0119;eco:b0123;	EG12318;	
panD	P0A790		3D-structure;Autocatalytic cleavage;Complete proteome;Cytoplasm;Decarboxylase;Direct protein sequencing;Lyase;Pantothenate biosynthesis;Pyruvate;Reference proteome;Schiff base;Zymogen	alanine biosynthetic process [GO:0006523]; pantothenate biosynthetic process [GO:0015940]; protein autoprocessing [GO:0016540]	cytosol [GO:0005829]	cytosol [GO:0005829]; aspartate 1-decarboxylase activity [GO:0004068]; alanine biosynthetic process [GO:0006523]; pantothenate biosynthetic process [GO:0015940]; protein autoprocessing [GO:0016540]	aspartate 1-decarboxylase activity [GO:0004068]	GO:0004068; GO:0005829; GO:0006523; GO:0015940; GO:0016540				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:6767707}.			4259730;	ecj:JW0127;eco:b0131;	EG11747;	
sfsA	P0A823		3D-structure;Complete proteome;DNA-binding;Reference proteome	positive regulation of transcription, DNA-templated [GO:0045893]		DNA binding [GO:0003677]; positive regulation of transcription, DNA-templated [GO:0045893]	DNA binding [GO:0003677]	GO:0003677; GO:0045893		P0AFT5; P07004					4259743;	ecj:JW0142;eco:b0146;	EG10949;	
clcA	P37019		3D-structure;Antiport;Cell inner membrane;Cell membrane;Chloride;Complete proteome;Ion transport;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix;Transport	chloride transport [GO:0006821]; nitrate transport [GO:0015706]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; anion binding [GO:0043168]; chloride ion binding [GO:0031404]; identical protein binding [GO:0042802]; solute:proton antiporter activity [GO:0015299]; voltage-gated chloride channel activity [GO:0005247]; chloride transport [GO:0006821]; nitrate transport [GO:0015706]	anion binding [GO:0043168]; chloride ion binding [GO:0031404]; identical protein binding [GO:0042802]; solute:proton antiporter activity [GO:0015299]; voltage-gated chloride channel activity [GO:0005247]	GO:0005247; GO:0005886; GO:0005887; GO:0006821; GO:0015299; GO:0015706; GO:0031404; GO:0042802; GO:0043168		Itself	INTRAMEM 109 116 Helical.; INTRAMEM 177 189 Helical.; INTRAMEM 193 201 Helical.; INTRAMEM 387 401 Helical.; INTRAMEM 402 404 Note=Loop between two helices.; INTRAMEM 405 416 Helical.; INTRAMEM 417 421 Note=Loop between two helices.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	TOPO_DOM 1 32 Cytoplasmic.; TOPO_DOM 70 76 Periplasmic.; TOPO_DOM 117 123 Cytoplasmic.; TOPO_DOM 167 176 Cytoplasmic.; TOPO_DOM 202 214 Cytoplasmic.; TOPO_DOM 233 252 Periplasmic.; TOPO_DOM 282 287 Cytoplasmic.; TOPO_DOM 310 329 Periplasmic.; TOPO_DOM 377 386 Periplasmic.; TOPO_DOM 439 473 Cytoplasmic.	TRANSMEM 33 69 Helical.; TRANSMEM 77 100 Helical.; TRANSMEM 124 141 Helical.; TRANSMEM 148 166 Helical.; TRANSMEM 215 232 Helical.; TRANSMEM 253 281 Helical.; TRANSMEM 288 309 Helical.; TRANSMEM 330 349 Helical.; TRANSMEM 355 376 Helical.; TRANSMEM 422 438 Helical.	4259368;	ecj:JW5012;eco:b0155;	EG12331;	
yadS	P0AFP0		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 22 29 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 51 58 Periplasmic. {ECO:0000255}.; TOPO_DOM 80 85 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 107 112 Periplasmic. {ECO:0000255}.; TOPO_DOM 134 148 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 170 170 Periplasmic. {ECO:0000255}.; TOPO_DOM 192 207 Cytoplasmic. {ECO:0000255}.	TRANSMEM 1 21 Helical. {ECO:0000255}.; TRANSMEM 30 50 Helical. {ECO:0000255}.; TRANSMEM 59 79 Helical. {ECO:0000255}.; TRANSMEM 86 106 Helical. {ECO:0000255}.; TRANSMEM 113 133 Helical. {ECO:0000255}.; TRANSMEM 149 169 Helical. {ECO:0000255}.; TRANSMEM 171 191 Helical. {ECO:0000255}.	4261385;	ecj:JW0153;eco:b0157;	EG12333;	
yaeH	P62768		Complete proteome;Reference proteome												4261337;	ecj:JW0159;eco:b0163;	EG12336;	
dapD	P0A9D8		Acyltransferase;Amino-acid biosynthesis;Complete proteome;Cytoplasm;Diaminopimelate biosynthesis;Direct protein sequencing;Lysine biosynthesis;Reference proteome;Repeat;Transferase	diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process [GO:0009085]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytosol [GO:0005829]	cytosol [GO:0005829]; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity [GO:0008666]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process [GO:0009085]; lysine biosynthetic process via diaminopimelate [GO:0009089]	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity [GO:0008666]	GO:0005829; GO:0008666; GO:0009085; GO:0009089; GO:0019877				SUBCELLULAR LOCATION: Cytoplasm.			4259746;	ecj:JW0161;eco:b0166;	EG10207;	
ispU	P60472	METAL 26 26 Magnesium.; METAL 199 199 Magnesium.; METAL 213 213 Magnesium.	3D-structure;Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Complete proteome;Magnesium;Metal-binding;Peptidoglycan synthesis;Reference proteome;Transferase	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; Gram-negative-bacterium-type cell wall biogenesis [GO:0043164]; peptidoglycan biosynthetic process [GO:0009252]; polyprenol biosynthetic process [GO:0016094]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; di-trans,poly-cis-decaprenylcistransferase activity [GO:0008834]; magnesium ion binding [GO:0000287]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; Gram-negative-bacterium-type cell wall biogenesis [GO:0043164]; peptidoglycan biosynthetic process [GO:0009252]; polyprenol biosynthetic process [GO:0016094]; regulation of cell shape [GO:0008360]	di-trans,poly-cis-decaprenylcistransferase activity [GO:0008834]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0005737; GO:0005829; GO:0007049; GO:0008360; GO:0008834; GO:0009252; GO:0016094; GO:0043164; GO:0051301; GO:0071555							4260767;	ecj:JW0169;eco:b0174;	EG13329;	
ldcC	P52095		3D-structure;Complete proteome;Decarboxylase;Direct protein sequencing;Lyase;Pyridoxal phosphate;Reference proteome	lysine catabolic process [GO:0006554]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; lysine decarboxylase activity [GO:0008923]; lysine catabolic process [GO:0006554]	identical protein binding [GO:0042802]; lysine decarboxylase activity [GO:0008923]	GO:0005737; GO:0006554; GO:0008923; GO:0042802		P0A9H3					4259757;	ecj:JW0181;eco:b0186;	EG13219;	
yaeR	P52096	METAL 9 9 Divalent metal cation. {ECO:0000255|PROSITE-ProRule:PRU01163}.; METAL 57 57 Divalent metal cation. {ECO:0000255|PROSITE-ProRule:PRU01163}.; METAL 78 78 Divalent metal cation. {ECO:0000255|PROSITE-ProRule:PRU01163}.; METAL 125 125 Divalent metal cation. {ECO:0000255|PROSITE-ProRule:PRU01163}.	Complete proteome;Metal-binding;Reference proteome			metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0046872							4261366;	ecj:JW0182;eco:b0187;	EG13224;	
yaeP	P0A8K5		Complete proteome;Reference proteome												4261682;	ecj:JW0185;eco:b4406;	EG13222;	
