Geneid,comparison,genename,bnum
CDS:b0453:ybaY:outer_membrane_lipoprotein:cds445:+:572:NC_000913.3,WT0_WT60.WT60_dRpoS60,ybaY,b0453
AS_CDS:b0454:ybaZ:excision_repair_protein%2C_alkyltransferase-like_protein_ATL:cds446:-:389:NC_000913.3,WT0_WT60.WT60_dRpoS60,ybaZ,b0454
CDS:b0581:ybdK:weak_gamma-glutamyl:cysteine_ligase:cds576:-:1118:NC_000913.3,WT0_WT60.WT60_dRpoS60,ybdK,b0581
CDS:b0707:ybgA:DUF1722_family_protein:cds695:+:509:NC_000913.3,WT0_WT60.WT60_dRpoS60,ybgA,b0707
CDS:b0753:ybgS:putative_periplasmic_protein:cds734:-:380:NC_000913.3,WT0_WT60.WT60_dRpoS60,ybgS,b0753
"AS_IGR:(CDS,b0753,ybgS,putative_periplasmic_protein,cds734,-,380/CDS,b0754,aroG,3-deoxy-D-arabino-heptulosonate-7-phosphate_synthase%2C_phenylalanine_repressible,cds735,+,1052):+:274:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
"AS_IGR:(CDS,b0808,ybiO,mechanosensitive_channel_protein%2C_intermediate_conductance,cds789,-,2225/CDS,b0809,glnQ,glutamine_transporter_subunit,cds790,-,722):+:209:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b0809:glnQ:glutamine_transporter_subunit:cds790:-:722:NC_000913.3,WT0_WT60.WT60_dRpoS60,glnQ,b0809
CDS:b0810:glnP:glutamine_transporter_subunit:cds791:-:659:NC_000913.3,WT0_WT60.WT60_dRpoS60,glnP,b0810
"AS_IGR:(CDS,b0810,glnP,glutamine_transporter_subunit,cds791,-,659/CDS,b0811,glnH,glutamine_transporter_subunit,cds792,-,746):+:87:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
"AS_IGR:(CDS,b0812,dps,Fe-binding_and_storage_protein%3B_stress-inducible_DNA-binding_protein,cds793,-,503/CDS,b0813,rhtA,threonine_and_homoserine_efflux_system,cds794,-,887):+:247:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b0871:poxB:pyruvate_dehydrogenase%2C_thiamine_triphosphate-binding%2C_FAD-binding:cds852:-:1718:NC_000913.3,WT0_WT60.WT60_dRpoS60,poxB,b0871
AS_CDS:b0896:dmsC:dimethyl_sulfoxide_reductase%2C_anaerobic%2C_subunit_C:cds876:+:863:NC_000913.3,WT0_WT60.WT60_dRpoS60,dmsC,b0896
CDS:b0897:ycaC:putative_isochorismatase_family_hydrolase:cds877:-:626:NC_000913.3,WT0_WT60.WT60_dRpoS60,ycaC,b0897
"AS_IGR:(CDS,b0897,ycaC,putative_isochorismatase_family_hydrolase,cds877,-,626/CDS,b0898,ycaD,putative_MFS_transporter%2C_inner_membrane_protein,cds878,+,1148):+:272:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b0906:ycaP:UPF0702_family_putative_inner_membrane_protein:cds886:+:692:NC_000913.3,WT0_WT60.WT60_dRpoS60,ycaP,b0906
AS_CDS:b1050:yceK:outer_membrane_integrity_lipoprotein:cds1028:+:227:NC_000913.3,WT0_WT60.WT60_dRpoS60,yceK,b1050
CDS:b1051:msyB:multicopy_suppressor_of_secY_and_secA:cds1029:-:374:NC_000913.3,WT0_WT60.WT60_dRpoS60,msyB,b1051
"AS_IGR:(CDS,b1051,msyB,multicopy_suppressor_of_secY_and_secA,cds1029,-,374/CDS,b1053,mdtG,putative_drug_efflux_system_protein,cds1030,-,1226):+:31:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b1188:ycgB:SpoVR_family_stationary_phase_protein:cds1168:-:1532:NC_000913.3,WT0_WT60.WT60_dRpoS60,ycgB,b1188
"AS_IGR:(CDS,b1188,ycgB,SpoVR_family_stationary_phase_protein,cds1168,-,1532/CDS,b1189,dadA,D-amino_acid_dehydrogenase,cds1169,+,1298):+:288:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b1195:ymgE:UPF0410_family_putative_inner_membrane_protein:cds1175:+:254:NC_000913.3,WT0_WT60.WT60_dRpoS60,ymgE,b1195
AS_CDS:b1340:smrA:DNA_endonuclease:cds1326:+:563:NC_000913.3,WT0_WT60.WT60_dRpoS60,smrA,b1340
CDS:b1341:ydaM:diguanylate_cyclase%2C_csgD_regulator:cds1327:-:1232:NC_000913.3,WT0_WT60.WT60_dRpoS60,ydaM,b1341
"AS_IGR:(CDS,b1341,ydaM,diguanylate_cyclase%2C_csgD_regulator,cds1327,-,1232/CDS,b1342,ydaN,putative_ZnII_transporter,cds1328,+,983):+:213:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b1423:ydcJ:putative_metalloenzyme:cds1410:+:1343:NC_000913.3,WT0_WT60.WT60_dRpoS60,ydcJ,b1423
CDS:b1440:ydcS:putative_ABC_transporter_periplasmic_binding_protein:cds1427:+:1145:NC_000913.3,WT0_WT60.WT60_dRpoS60,ydcS,b1440
CDS:b1443:ydcV:putative_ABC_transporter_permease:cds1430:+:794:NC_000913.3,WT0_WT60.WT60_dRpoS60,ydcV,b1443
AS_CDS:b1444:patD:gamma-aminobutyraldehyde_dehydrogenase:cds1431:+:1424:NC_000913.3,WT0_WT60.WT60_dRpoS60,patD,b1444
CDS:b1519:tam:trans-aconitate_methyltransferase:cds1504:+:758:NC_000913.3,WT0_WT60.WT60_dRpoS60,tam,b1519
CDS:b1732:katE:catalase_HPII%2C_heme_d-containing:cds1720:+:2261:NC_000913.3,WT0_WT60.WT60_dRpoS60,katE,b1732
CDS:b1744:astE:succinylglutamate_desuccinylase:cds1732:-:968:NC_000913.3,WT0_WT60.WT60_dRpoS60,astE,b1744
CDS:b1748:astC:succinylornithine_transaminase%2C_PLP-dependent:cds1736:-:1220:NC_000913.3,WT0_WT60.WT60_dRpoS60,astC,b1748
CDS:b1783:yeaG:protein_kinase%2C_endogenous_substrate_unidentified%3B_autokinase:cds1771:+:1934:NC_000913.3,WT0_WT60.WT60_dRpoS60,yeaG,b1783
CDS:b1896:otsA:trehalose-6-phosphate_synthase:cds1888:-:1424:NC_000913.3,WT0_WT60.WT60_dRpoS60,otsA,b1896
CDS:b1897:otsB:trehalose-6-phosphate_phosphatase%2C_biosynthetic:cds1889:-:800:NC_000913.3,WT0_WT60.WT60_dRpoS60,otsB,b1897
CDS:b1927:amyA:cytoplasmic_alpha-amylase:cds1916:+:1487:NC_000913.3,WT0_WT60.WT60_dRpoS60,amyA,b1927
CDS:b1953:yodD:uncharacterized_protein:cds1940:+:227:NC_000913.3,WT0_WT60.WT60_dRpoS60,yodD,b1953
"AS_ncRNA:b1954,ID:dsrA:sRNA_antisense_regulator_enhances_translation_of_RpoS%2C_Hfq-dependent:id235:-:86:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
sequence_feature:-:-:-:id244:+:11677:NC_000913.3,WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b2086:yegS:phosphatidylglycerol_kinase%2C_metal-dependent:cds2071:+:899:NC_000913.3,WT0_WT60.WT60_dRpoS60,yegS,b2086
CDS:b2097:fbaB:fructose-bisphosphate_aldolase_class_I:cds2081:-:1052:NC_000913.3,WT0_WT60.WT60_dRpoS60,fbaB,b2097
"AS_IGR:(CDS,b2097,fbaB,fructose-bisphosphate_aldolase_class_I,cds2081,-,1052/CDS,b2098,yegT,nucleoside_transporter%2C_low_affinity,cds2082,+,1277):+:215:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b2127:mlrA:transcriptional_activator_of_csgD_and_csgBA:cds2110:+:731:NC_000913.3,WT0_WT60.WT60_dRpoS60,mlrA,b2127
CDS:b2128:yehW:putative_ABC_transporter_permease:cds2112:-:731:NC_000913.3,WT0_WT60.WT60_dRpoS60,yehW,b2128
CDS:b2130:yehY:putative_ABC_transporter_permease:cds2114:-:1157:NC_000913.3,WT0_WT60.WT60_dRpoS60,yehY,b2130
CDS:b2131:osmF:putative_ABC_transporter_periplasmic_binding_protein:cds2115:-:917:NC_000913.3,WT0_WT60.WT60_dRpoS60,osmF,b2131
CDS:b4679:yohP:uncharacterized_protein:cds2123:+:83:NC_000913.3,WT0_WT60.WT60_dRpoS60,yohP,b4679
"AS_IGR:(CDS,b2240,glpT,sn-glycerol-3-phosphate_transporter,cds2222,-,1358/CDS,b2241,glpA,anaerobic_sn-glycerol-3-phosphate_dehydrogenase%2C_large_FAD/NADP-binding_subunit,cds2223,+,1628):+:231:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b2241:glpA:anaerobic_sn-glycerol-3-phosphate_dehydrogenase%2C_large_FAD/NADP-binding_subunit:cds2223:+:1628:NC_000913.3,WT0_WT60.WT60_dRpoS60,glpA,b2241
"AS_IGR:(CDS,b2265,menF,isochorismate_synthase_2,cds2249,-,1295/CDS,b2266,elaB,putative_membrane-anchored_DUF883_family_ribosome-binding_protein,cds2250,-,305):+:27:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b2266:elaB:putative_membrane-anchored_DUF883_family_ribosome-binding_protein:cds2250:-:305:NC_000913.3,WT0_WT60.WT60_dRpoS60,elaB,b2266
CDS:b2302:yfcG:GSH-dependent_disulfide_bond_oxidoreductase:cds2286:+:647:NC_000913.3,WT0_WT60.WT60_dRpoS60,yfcG,b2302
CDS:b2464:talA:transaldolase_A:cds2443:+:950:NC_000913.3,WT0_WT60.WT60_dRpoS60,talA,b2464
CDS:b2465:tktB:transketolase_2%2C_thiamine_triphosphate-binding:cds2444:+:2003:NC_000913.3,WT0_WT60.WT60_dRpoS60,tktB,b2465
CDS:b2659:csiD:carbon_starvation_protein:cds2627:+:977:NC_000913.3,WT0_WT60.WT60_dRpoS60,csiD,b2659
CDS:b2660:lhgO:L-2-hydroxyglutarate_oxidase:cds2628:+:1268:NC_000913.3,WT0_WT60.WT60_dRpoS60,lhgO,b2660
"IGR:(CDS,b2662,gabT,4-aminobutyrate_aminotransferase%2C_PLP-dependent,cds2630,+,1280/CDS,b2663,gabP,gamma-aminobutyrate_transporter,cds2631,+,1400):+:186:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b2672:ygaM:putative_membrane-anchored_DUF883_family_ribosome-binding_protein:cds2640:+:329:NC_000913.3,WT0_WT60.WT60_dRpoS60,ygaM,b2672
"IGR:(CDS,b2672,ygaM,putative_membrane-anchored_DUF883_family_ribosome-binding_protein,cds2640,+,329/CDS,b2673,nrdH,hydrogen_donor_for_NrdEF_electron_transport_system%3B_glutaredoxin-like_protein,cds2641,+,245):+:196:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b2741:rpoS:RNA_polymerase%2C_sigma_S_sigma_38_factor:cds2703:-:992:NC_000913.3,WT0_WT60.WT60_dRpoS60,rpoS,b2741
"AS_IGR:(CDS,b3024,ygiW,hydrogen_peroxide_and_cadmium_resistance_periplasmic_protein%3B_stress-induced_OB-fold_protein,cds2973,-,392/CDS,b3025,qseB,quorum_sensing_DNA-binding_response_regulator_in_two-component_regulatory_system_with_QseC,cds2974,+,659):+:110:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b3097:yqjC:DUF1090_family_putative_periplasmic_protein:cds3046:+:368:NC_000913.3,WT0_WT60.WT60_dRpoS60,yqjC,b3097
CDS:b3098:yqjD:membrane-anchored_ribosome-binding_protein:cds3047:+:305:NC_000913.3,WT0_WT60.WT60_dRpoS60,yqjD,b3098
CDS:b3239:yhcO:putative_barnase_inhibitor:cds3183:-:272:NC_000913.3,WT0_WT60.WT60_dRpoS60,yhcO,b3239
CDS:b3426:glpD:sn-glycerol-3-phosphate_dehydrogenase%2C_aerobic%2C_FAD/NADP-binding:cds3362:+:1505:NC_000913.3,WT0_WT60.WT60_dRpoS60,glpD,b3426
CDS:b3447:ggt:gamma-glutamyltranspeptidase:cds3382:-:1742:NC_000913.3,WT0_WT60.WT60_dRpoS60,ggt,b3447
"AS_IGR:(CDS,b3447,ggt,gamma-glutamyltranspeptidase,cds3382,-,1742/CDS,b3448,yhhA,DUF2756_family_protein,cds3383,+,440):+:78:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b3524:yhjG:putative_inner_membrane-anchored_periplasmic_AsmA_family_protein:cds3460:-:2060:NC_000913.3,WT0_WT60.WT60_dRpoS60,yhjG,b3524
CDS:b3542:dppC:dipeptide/heme_ABC_transporter_permease:cds3479:-:902:NC_000913.3,WT0_WT60.WT60_dRpoS60,dppC,b3542
CDS:b3543:dppB:dipeptide/heme_ABC_transporter_permease:cds3480:-:1019:NC_000913.3,WT0_WT60.WT60_dRpoS60,dppB,b3543
"IGR:(CDS,b3543,dppB,dipeptide/heme_ABC_transporter_permease,cds3480,-,1019/CDS,b3544,dppA,dipeptide/heme_ABC_transporter_periplasmic_binding_protein%3B_dipeptide_chemotaxis_receptor,cds3481,-,1607):+:256:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
"AS_IGR:(CDS,b3543,dppB,dipeptide/heme_ABC_transporter_permease,cds3480,-,1019/CDS,b3544,dppA,dipeptide/heme_ABC_transporter_periplasmic_binding_protein%3B_dipeptide_chemotaxis_receptor,cds3481,-,1607):+:256:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b3544:dppA:dipeptide/heme_ABC_transporter_periplasmic_binding_protein%3B_dipeptide_chemotaxis_receptor:cds3481:-:1607:NC_000913.3,WT0_WT60.WT60_dRpoS60,dppA,b3544
"AS_IGR:(CDS,b3544,dppA,dipeptide/heme_ABC_transporter_periplasmic_binding_protein%3B_dipeptide_chemotaxis_receptor,cds3481,-,1607/tRNA,b3545,ID,proK,tRNA-Pro,id450,-,76):+:889:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b3555:yiaG:HTH_CROC1_family_putative_transcriptional_regulator:cds3491:+:290:NC_000913.3,WT0_WT60.WT60_dRpoS60,yiaG,b3555
"AS_IGR:(CDS,b4553,ysaB,uncharacterized_protein,cds3499,-,299/CDS,b3561,wecH,O-acetyltransferase_for_enterobacterial_common_antigen_ECA,cds3500,+,995):+:133:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b3579:yiaO:2%2C3-diketo-L-gulonate-binding_periplasmic_protein:cds3518:+:986:NC_000913.3,WT0_WT60.WT60_dRpoS60,yiaO,b3579
CDS:b3588:aldB:aldehyde_dehydrogenase_B:cds3529:-:1538:NC_000913.3,WT0_WT60.WT60_dRpoS60,aldB,b3588
CDS:b3604:lldR:dual_role_activator/repressor_for_lldPRD_operon:cds3550:+:776:NC_000913.3,WT0_WT60.WT60_dRpoS60,lldR,b3604
CDS:b3605:lldD:L-lactate_dehydrogenase%2C_FMN-linked:cds3551:+:1190:NC_000913.3,WT0_WT60.WT60_dRpoS60,lldD,b3605
"IGR:(CDS,b3605,lldD,L-lactate_dehydrogenase%2C_FMN-linked,cds3551,+,1190/CDS,b3606,trmL,tRNA_Leu_mC34%2CmU34_2'-O-methyltransferase%2C_SAM-dependent,cds3552,+,473):+:146:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b3927:glpF:glycerol_facilitator:cds3854:-:845:NC_000913.3,WT0_WT60.WT60_dRpoS60,glpF,b3927
"AS_IGR:(CDS,b3927,glpF,glycerol_facilitator,cds3854,-,845/CDS,b3928,zapB,FtsZ_stabilizer%2C_septal_ring_assembly_factor%2C_cell_division_stimulator,cds3855,+,245):+:383:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b4045:yjbJ:stress-induced_protein%2C_UPF0337_family:cds3960:+:209:NC_000913.3,WT0_WT60.WT60_dRpoS60,yjbJ,b4045
CDS:b4127:yjdJ:GNAT_family_putative_N-acetyltransferase:cds4044:+:272:NC_000913.3,WT0_WT60.WT60_dRpoS60,yjdJ,b4127
AS_CDS:b4148:sugE:multidrug_efflux_system_protein:cds4068:+:317:NC_000913.3,WT0_WT60.WT60_dRpoS60,sugE,b4148
CDS:b4149:blc:outer_membrane_lipoprotein_cell_division_and_growth_lipocalin:cds4069:-:533:NC_000913.3,WT0_WT60.WT60_dRpoS60,blc,b4149
CDS:b4309:nanS:9-O-acetyl_N-acetylneuraminic_acid_esterase:cds4227:-:980:NC_000913.3,WT0_WT60.WT60_dRpoS60,nanS,b4309
CDS:b4310:nanM:N-acetylneuraminic_acid_mutarotase:cds4228:-:1106:NC_000913.3,WT0_WT60.WT60_dRpoS60,nanM,b4310
CDS:b4376:osmY:salt-inducible_putative_ABC_transporter_periplasmic_binding_protein:cds4290:+:605:NC_000913.3,WT0_WT60.WT60_dRpoS60,osmY,b4376
"IGR:(CDS,b4376,osmY,salt-inducible_putative_ABC_transporter_periplasmic_binding_protein,cds4290,+,605/CDS,b4568,ytjA,uncharacterized_protein,cds4291,+,161):+:75:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b4568:ytjA:uncharacterized_protein:cds4291:+:161:NC_000913.3,WT0_WT60.WT60_dRpoS60,ytjA,b4568
"IGR:(CDS,b4568,ytjA,uncharacterized_protein,cds4291,+,161/CDS,b4377,yjjU,putative_patatin-like_family_phospholipase,cds4292,+,1073):+:70:NC_000913.3",WT0_WT60.WT60_dRpoS60,NA,NA
CDS:b0046:kefF:potassium-efflux_system_ancillary_protein_for_KefC%2C_glutathione-regulated%3B_quinone_oxidoreductase%2C_FMN-dependent:cds44:+:530:NC_000913.3,WT0_WT90.WT90_dRpoS90,kefF,b0046
CDS:b0047:kefC:potassium:proton_antiporter:cds45:+:1862:NC_000913.3,WT0_WT90.WT90_dRpoS90,kefC,b0047
"IGR:(CDS,b0047,kefC,potassium,proton_antiporter,cds45,+,1862/CDS,b0048,folA,dihydrofolate_reductase,cds46,+,479):+:140:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"AS_IGR:(CDS,b0059,rapA,RNA_polymerase_remodeling/recycling_factor_ATPase%3B_RNA_polymerase-associated%2C_ATP-dependent_RNA_translocase,cds56,-,2906/CDS,b0060,polB,DNA_polymerase_II,cds57,-,2351):+:113:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b0060:polB:DNA_polymerase_II:cds57:-:2351:NC_000913.3,WT0_WT90.WT90_dRpoS90,polB,b0060
AS_CDS:b0083:ftsL:membrane_bound_cell_division_leucine_zipper_septum_protein:cds80:+:365:NC_000913.3,WT0_WT90.WT90_dRpoS90,ftsL,b0083
AS_CDS:b0143:pcnB:polyA_polymerase:cds138:-:1397:NC_000913.3,WT0_WT90.WT90_dRpoS90,pcnB,b0143
CDS:b0155:clcA:H+/Cl-_exchange_transporter:cds150:+:1421:NC_000913.3,WT0_WT90.WT90_dRpoS90,clcA,b0155
CDS:b0162:cdaR:carbohydrate_diacid_regulon_transcriptional_regulator%3B_autoregulator:cds157:+:1157:NC_000913.3,WT0_WT90.WT90_dRpoS90,cdaR,b0162
CDS:b0186:ldcC:lysine_decarboxylase_2%2C_constitutive:cds180:+:2141:NC_000913.3,WT0_WT90.WT90_dRpoS90,ldcC,b0186
CDS:b0192:nlpE:lipoprotein_involved_with_copper_homeostasis_and_adhesion:cds187:+:710:NC_000913.3,WT0_WT90.WT90_dRpoS90,nlpE,b0192
CDS:b0220:ivy:inhibitor_of_c-type_lysozyme%2C_periplasmic:cds210:+:473:NC_000913.3,WT0_WT90.WT90_dRpoS90,ivy,b0220
AS_CDS:b0290:ecpD:polymerized_tip_adhesin_of_ECP_fibers:cds286:-:1643:NC_000913.3,WT0_WT90.WT90_dRpoS90,ecpD,b0290
CDS:b0304:rclA:reactive_chlorine_stress_species_RCS_resistance_protein%3B_pyridine_nucleotide-dependent_disulfide_oxidoreductase_family:cds303:-:1325:NC_000913.3,WT0_WT90.WT90_dRpoS90,rclA,b0304
AS_CDS:b0314:betT:choline_transporter_of_high_affinity:cds312:+:2033:NC_000913.3,WT0_WT90.WT90_dRpoS90,betT,b0314
"AS_IGR:(CDS,b0314,betT,choline_transporter_of_high_affinity,cds312,+,2033/CDS,b0315,yahA,c-di-GMP-specific_phosphodiesterase,cds313,+,1088):+:823:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
AS_CDS:b0321:yahG:DUF1116_family_protein:cds319:+:1418:NC_000913.3,WT0_WT90.WT90_dRpoS90,yahG,b0321
"AS_IGR:(CDS,b0321,yahG,DUF1116_family_protein,cds319,+,1418/CDS,b0323,yahI,carbamate_kinase-like_protein,cds320,+,950):+:370:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b0325:yahK:broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing:cds322:+:1049:NC_000913.3,WT0_WT90.WT90_dRpoS90,yahK,b0325
"IGR:(CDS,b0325,yahK,broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing,cds322,+,1049/CDS,b0326,yahL,uncharacterized_protein,cds323,+,815):+:191:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"IGR:(CDS,b0328,yahN,amino_acid_exporter_for_proline%2C_lysine%2C_glutamate%2C_homoserine,cds325,-,671/CDS,b0329,yahO,periplasmic_protein%2C_function_unknown%2C_YhcN_family,cds326,+,275):+:105:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b0329:yahO:periplasmic_protein%2C_function_unknown%2C_YhcN_family:cds326:+:275:NC_000913.3,WT0_WT90.WT90_dRpoS90,yahO,b0329
AS_CDS:b0329:yahO:periplasmic_protein%2C_function_unknown%2C_YhcN_family:cds326:+:275:NC_000913.3,WT0_WT90.WT90_dRpoS90,yahO,b0329
"IGR:(CDS,b0329,yahO,periplasmic_protein%2C_function_unknown%2C_YhcN_family,cds326,+,275/CDS,b0330,prpR,propionate_catabolism_operon_regulatory_protein,cds327,-,1586):+:36:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
"AS_IGR:(CDS,b0329,yahO,periplasmic_protein%2C_function_unknown%2C_YhcN_family,cds326,+,275/CDS,b0330,prpR,propionate_catabolism_operon_regulatory_protein,cds327,-,1586):+:36:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b0330:prpR:propionate_catabolism_operon_regulatory_protein:cds327:-:1586:NC_000913.3,WT0_WT90.WT90_dRpoS90,prpR,b0330
AS_CDS:b0330:prpR:propionate_catabolism_operon_regulatory_protein:cds327:-:1586:NC_000913.3,WT0_WT90.WT90_dRpoS90,prpR,b0330
CDS:b0384:psiF:PsiF_family_protein:cds377:+:320:NC_000913.3,WT0_WT90.WT90_dRpoS90,psiF,b0384
"IGR:(CDS,b0384,psiF,PsiF_family_protein,cds377,+,320/CDS,b0385,yaiC,diguanylate_cyclase%2C_cellulose_regualtor,cds378,+,1115):+:50:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b0389:yaiA:OxyR-regulated_conserved_protein:cds382:+:191:NC_000913.3,WT0_WT90.WT90_dRpoS90,yaiA,b0389
"IGR:(CDS,b0389,yaiA,OxyR-regulated_conserved_protein,cds382,+,191/CDS,b0390,aroM,AroM_family_protein,cds383,+,677):+:206:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b0404:acpH:acyl_carrier_protein_ACP_phosphodiesterase%3B_ACP_hydrolyase:cds396:-:581:NC_000913.3,WT0_WT90.WT90_dRpoS90,acpH,b0404
CDS:b0412:yajI:putative_lipoprotein:cds404:-:539:NC_000913.3,WT0_WT90.WT90_dRpoS90,yajI,b0412
AS_CDS:b0420:dxs:1-deoxyxylulose-5-phosphate_synthase%2C_thiamine_triphosphate-binding%2C_FAD-requiring:cds412:-:1862:NC_000913.3,WT0_WT90.WT90_dRpoS90,dxs,b0420
"IGR:(CDS,b0434,yajG,putative_lipoprotein,cds426,-,578/CDS,b0435,bolA,stationary-phase_morphogene%2C_transcriptional_repressor_for_mreB%3B_also_regulator_for_dacA%2C_dacC%2C_and_ampC,cds427,+,317):+:263:NC_000913.3",WT0_WT90.WT90_dRpoS90,NA,NA
CDS:b0435:bolA:stationary-phase_morphogene%2C_transcriptional_repressor_for_mreB%3B_also_regulator_for_dacA%2C_dacC%2C_and_ampC:cds427:+:317:NC_000913.3,WT0_WT90.WT90_dRpoS90,bolA,b0435
AS_CDS:b0444:queC:7-cyano-7-deazaguanine_preQ0_synthase%3B_queuosine_biosynthesis:cds436:-:695:NC_000913.3,WT0_WT90.WT90_dRpoS90,queC,b0444
