Geneid,comparison,genename,bnum,group
"AS_IGR:(CDS,b1419,ydcA,putative_periplasmic_protein,cds1405,+,173/CDS,b4428,hokB,toxic_polypeptide%2C_small,cds1406,-,149):+:10:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b4428:hokB:toxic_polypeptide%2C_small:cds1406:-:149:NC_000913.3,WT0_WT30,hokB,b4428,NA
CDS:b1420:mokB:regulatory_peptide:cds1407:-:167:NC_000913.3,WT0_WT30,mokB,b1420,NA
"AS_ncRNA:b4429,ID:sokB:sRNA_antisense_regulator_blocking_mokB%2C_and_hence_hokB%2C_translation:id193:+:55:NC_000913.3",WT0_WT30,NA,NA,NA
"AS_IGR:(ncRNA,b4429,ID,sokB,sRNA_antisense_regulator_blocking_mokB%2C_and_hence_hokB%2C_translation,id193,+,55/CDS,b1421,trg,methyl-accepting_chemotaxis_protein_III%2C_ribose_and_galactose_sensor_receptor,cds1408,+,1640):+:274:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1424:opgD:OPG_biosynthetic_periplasmic_protein:cds1411:+:1655:NC_000913.3,WT0_WT30,opgD,b1424,NA
CDS:b1431:ydcL:lipoprotein:cds1417:+:668:NC_000913.3,WT0_WT30,ydcL,b1431,NA
"IGR:(CDS,b1445,ydcX,DUF2566_family_protein,cds1433,+,173/CDS,b1446,ydcY,DUF2526_family_protein,cds1434,+,233):+:34:NC_000913.3",WT0_WT30,NA,NA,NA
AS_CDS:b1450:mcbR:colanic_acid_and_biofilm_gene_transcriptional_regulator%2C_MqsR-controlled:cds1438:+:665:NC_000913.3,WT0_WT30,mcbR,b1450,NA
CDS:b1451:yncD:putative_iron_outer_membrane_transporter:cds1439:-:2102:NC_000913.3,WT0_WT30,yncD,b1451,NA
CDS:b1453:ansP:L-asparagine_transporter:cds1441:-:1499:NC_000913.3,WT0_WT30,ansP,b1453,NA
CDS:b1482:osmC:lipoyl-dependent_Cys-based_peroxidase%2C_hydroperoxide_resistance%3B_salt-shock_inducible_membrane_protein%3B_peroxiredoxin:cds1468:+:431:NC_000913.3,WT0_WT30,osmC,b1482,NA
AS_CDS:b1491:yddW:liprotein%2C_glycosyl_hydrolase_homolog:cds1477:-:1319:NC_000913.3,WT0_WT30,yddW,b1491,NA
CDS:b1497:ydeM:putative_YdeN-specific_sulfatase-maturating_enzyme:cds1483:-:1157:NC_000913.3,WT0_WT30,ydeM,b1497,NA
CDS:b1498:ydeN:putative_Ser-type_periplasmic_non-aryl_sulfatase:cds1484:-:1682:NC_000913.3,WT0_WT30,ydeN,b1498,NA
"AS_IGR:(CDS,b1498,ydeN,putative_Ser-type_periplasmic_non-aryl_sulfatase,cds1484,-,1682/CDS,b1499,ydeO,UV-inducible_global_regulator%2C_EvgA-%2C_GadE-dependent,cds1485,-,761):+:350:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1539:ydfG:NADP-dependent_3-hydroxy_acid_dehydrogenase%3B_malonic_semialdehyde_reductase:cds1525:+:746:NC_000913.3,WT0_WT30,ydfG,b1539,NA
"IGR:(CDS,b1539,ydfG,NADP-dependent_3-hydroxy_acid_dehydrogenase%3B_malonic_semialdehyde_reductase,cds1525,+,746/CDS,b1540,rspR,transcriptional_repressor_for_rspAB,cds1526,+,686):+:37:NC_000913.3",WT0_WT30,NA,NA,NA
sequence_feature:-:-:-:id204:-:20457:NC_000913.3,WT0_WT30,NA,NA,NA
CDS:b1556:essQ:Qin_prophage%3B_putative_S_lysis_protein:cds1544:-:215:NC_000913.3,WT0_WT30,essQ,b1556,NA
"AS_IGR:(CDS,b1556,essQ,Qin_prophage%3B_putative_S_lysis_protein,cds1544,-,215/CDS,b1557,cspB,Qin_prophage%3B_cold_shock_protein,cds1545,-,215):+:702:NC_000913.3",WT0_WT30,NA,NA,NA
"IGR:(CDS,b1558,cspF,Qin_prophage%3B_cold_shock_protein,cds1546,+,212/CDS,b1559,quuQ,Qin_prophage%3B_putative_antitermination_protein_Q,cds1547,-,752):+:360:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1581:rspA:bifunctional_D-altronate/D-mannonate_dehydratase:cds1568:-:1214:NC_000913.3,WT0_WT30,rspA,b1581,NA
CDS:b1586:ynfD:DUF1161_family_periplasmic_protein:cds1573:+:305:NC_000913.3,WT0_WT30,ynfD,b1586,NA
"IGR:(CDS,b1586,ynfD,DUF1161_family_periplasmic_protein,cds1573,+,305/CDS,b1587,ynfE,putative_selenate_reductase%2C_periplasmic,cds1574,+,2426):+:147:NC_000913.3",WT0_WT30,NA,NA,NA
"AS_IGR:(CDS,b1594,mlc,glucosamine_anaerobic_growth_regulon_transcriptional_repressor%3B_autorepressor,cds1581,-,1220/CDS,b1595,ynfL,LysR_family_putative_transcriptional_regulator,cds1582,-,893):+:83:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1619:hdhA:7-alpha-hydroxysteroid_dehydrogenase%2C_NAD-dependent:cds1607:-:767:NC_000913.3,WT0_WT30,hdhA,b1619,NA
CDS:b1651:gloA:glyoxalase_I%2C_Ni-dependent:cds1640:+:407:NC_000913.3,WT0_WT30,gloA,b1651,NA
CDS:b1693:aroD:3-dehydroquinate_dehydratase:cds1681:+:758:NC_000913.3,WT0_WT30,aroD,b1693,NA
AS_CDS:b1701:fadK:short_chain_acyl-CoA_synthetase%2C_anaerobic:cds1689:+:1646:NC_000913.3,WT0_WT30,fadK,b1701,NA
CDS:b1702:ppsA:phosphoenolpyruvate_synthase:cds1690:-:2378:NC_000913.3,WT0_WT30,ppsA,b1702,NA
"AS_IGR:(CDS,b1702,ppsA,phosphoenolpyruvate_synthase,cds1690,-,2378/CDS,b1703,ppsR,PEP_synthase_kinase_and_PEP_synthase_pyrophosphorylase,cds1691,+,833):+:291:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1703:ppsR:PEP_synthase_kinase_and_PEP_synthase_pyrophosphorylase:cds1691:+:833:NC_000913.3,WT0_WT30,ppsR,b1703,NA
AS_CDS:b1725:yniA:fructosamine_kinase_family_protein:cds1713:+:860:NC_000913.3,WT0_WT30,yniA,b1725,NA
"AS_IGR:(CDS,b1748,astC,succinylornithine_transaminase%2C_PLP-dependent,cds1736,-,1220/CDS,b1749,xthA,exonuclease_III,cds1737,+,806):+:404:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1793:yoaF:DUF333_family_outer_membrane_lipoprotein:cds1781:-:254:NC_000913.3,WT0_WT30,yoaF,b1793,NA
CDS:b1814:sdaA:L-serine_dehydratase_1:cds1804:+:1364:NC_000913.3,WT0_WT30,sdaA,b1814,NA
"IGR:(CDS,b1816,yoaE,putative_membrane_protein/conserved_protein,cds1806,-,1556/CDS,b1817,manX,fused_mannose-specific_PTS_enzymes,_IIA_component/IIB_component,cds1807,+,971):+:421:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1817:manX:fused_mannose-specific_PTS_enzymes:_IIA_component/IIB_component:cds1807:+:971:NC_000913.3,WT0_WT30,manX,b1817,NA
CDS:b1823:cspC:stress_protein%2C_member_of_the_CspA-family:cds1813:-:209:NC_000913.3,WT0_WT30,cspC,b1823,NA
CDS:b1824:yobF:DUF2527_family_heat-induced_protein:cds1814:-:143:NC_000913.3,WT0_WT30,yobF,b1824,NA
"AS_IGR:(CDS,b1824,yobF,DUF2527_family_heat-induced_protein,cds1814,-,143/CDS,b1825,yebO,putative_inner_membrane_protein,cds1815,-,287):+:618:NC_000913.3",WT0_WT30,NA,NA,NA
"IGR:(CDS,b1853,yebK,putative_DNA-binding_transcriptional_regulator,cds1844,+,869/CDS,b1854,pykA,pyruvate_kinase_II,cds1845,+,1442):+:76:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1854:pykA:pyruvate_kinase_II:cds1845:+:1442:NC_000913.3,WT0_WT30,pykA,b1854,NA
"IGR:(CDS,b1854,pykA,pyruvate_kinase_II,cds1845,+,1442/CDS,b1855,lpxM,myristoyl-acyl_carrier_protein_ACP-dependent_acyltransferase,cds1846,-,971):+:69:NC_000913.3",WT0_WT30,NA,NA,NA
AS_CDS:b1855:lpxM:myristoyl-acyl_carrier_protein_ACP-dependent_acyltransferase:cds1846:-:971:NC_000913.3,WT0_WT30,lpxM,b1855,NA
CDS:b1897:otsB:trehalose-6-phosphate_phosphatase%2C_biosynthetic:cds1889:-:800:NC_000913.3,WT0_WT30,otsB,b1897,NA
"IGR:(CDS,b1901,araF,L-arabinose_ABC_transporter_periplasmic_binding_protein,cds1892,-,989/CDS,b1902,ftnB,ferritin_B%2C_putative_ferrous_iron_reservoir,cds1893,+,503):+:755:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1902:ftnB:ferritin_B%2C_putative_ferrous_iron_reservoir:cds1893:+:503:NC_000913.3,WT0_WT30,ftnB,b1902,NA
"AS_IGR:(CDS,b1974,yodB,cytochrome_b561_homolog,cds1958,+,530/tRNA,b1975,ID,serU,tRNA-Ser,id238,-,89):+:538:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b1976:mtfA:anti-repressor_for_DgsAMlc:cds1959:+:797:NC_000913.3,WT0_WT30,mtfA,b1976,NA
CDS:b1985:yeeO:putative_multdrug_exporter%2C_MATE_family:cds1965:-:1487:NC_000913.3,WT0_WT30,yeeO,b1985,NA
AS_CDS:b2009:sbmC:DNA_gyrase_inhibitor:cds1991:-:473:NC_000913.3,WT0_WT30,sbmC,b2009,NA
CDS:b2067:yegE:putative_diguanylate_cyclase:cds2051:+:3317:NC_000913.3,WT0_WT30,yegE,b2067,NA
"IGR:(CDS,b2067,yegE,putative_diguanylate_cyclase,cds2051,+,3317/CDS,b2068,alkA,3-methyl-adenine_DNA_glycosylase_II,cds2052,-,848):+:47:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b2069:yegD:Hsp70_chaperone_family_protein:cds2053:+:1352:NC_000913.3,WT0_WT30,yegD,b2069,NA
CDS:b2086:yegS:phosphatidylglycerol_kinase%2C_metal-dependent:cds2071:+:899:NC_000913.3,WT0_WT30,yegS,b2086,NA
AS_mobile_genetic_element:-:-:-:id260:+:1257:NC_000913.3,WT0_WT30,NA,NA,NA
AS_CDS:b2089:insF1:IS3_transposase_B:cds2074:+:866:NC_000913.3,WT0_WT30,insF1,b2089,NA
CDS:b4498:gatR:-:cds2072:-:298:NC_000913.3,WT0_WT30,gatR,b4498,NA
"AS_IGR:(CDS,b4498,gatR,-,cds2072,-,298/CDS,b2091,gatD,galactitol-1-phosphate_dehydrogenase%2C_Zn-dependent_and_NADP-binding,cds2075,-,1040):+:54:NC_000913.3",WT0_WT30,NA,NA,NA
CDS:b2091:gatD:galactitol-1-phosphate_dehydrogenase%2C_Zn-dependent_and_NADP-binding:cds2075:-:1040:NC_000913.3,WT0_WT30,gatD,b2091,NA
