Geneid,comparison,genename,bnum
AS_CDS:b0372:insF1:IS3_transposase_B:cds366:-:866:NC_000913.3,WT0_WT30,insF1,b0372
AS_mobile_genetic_element:-:-:-:id60:-:1257:NC_000913.3,WT0_WT30,NA,NA
CDS:b0382:iraP:anti-RssB_factor%2C_RpoS_stabilzer_during_Pi_starvation%3B_anti-adapter_protein:cds375:+:260:NC_000913.3,WT0_WT30,iraP,b0382
"IGR:(CDS,b0382,iraP,anti-RssB_factor%2C_RpoS_stabilzer_during_Pi_starvation%3B_anti-adapter_protein,cds375,+,260/CDS,b0383,phoA,bacterial_alkaline_phosphatase,cds376,+,1415):+:49:NC_000913.3",WT0_WT30,NA,NA
CDS:b0383:phoA:bacterial_alkaline_phosphatase:cds376:+:1415:NC_000913.3,WT0_WT30,phoA,b0383
CDS:b0384:psiF:PsiF_family_protein:cds377:+:320:NC_000913.3,WT0_WT30,psiF,b0384
CDS:b0483:ybaQ:putative_DNA-binding_transcriptional_regulator:cds474:+:341:NC_000913.3,WT0_WT30,ybaQ,b0483
AS_CDS:b0488:ybbJ:inner_membrane_protein%3B_stimulator_of_the_QmcA_suppressor_of_ftsH-htpX:cds479:-:458:NC_000913.3,WT0_WT30,ybbJ,b0488
AS_mobile_genetic_element:-:-:-:id85:+:1257:NC_000913.3,WT0_WT30,NA,NA
AS_CDS:b0541:insF1:IS3_transposase_B:cds532:+:866:NC_000913.3,WT0_WT30,insF1,b0541
CDS:b0581:ybdK:weak_gamma-glutamyl:cysteine_ligase:cds576:-:1118:NC_000913.3,WT0_WT30,ybdK,b0581
AS_CDS:b0644:ybeQ:Sel1_family_TPR-like_repeat_protein:cds640:-:977:NC_000913.3,WT0_WT30,ybeQ,b0644
CDS:b0654:gltJ:glutamate/aspartate_ABC_transporter_permease:cds650:-:740:NC_000913.3,WT0_WT30,gltJ,b0654
CDS:b0655:gltI:glutamate/aspartate_periplasmic_binding_protein:cds651:-:908:NC_000913.3,WT0_WT30,gltI,b0655
CDS:b0676:nagC:N-acetylglucosamine-inducible_nag_divergent_operon_transcriptional_repressor:cds661:-:1220:NC_000913.3,WT0_WT30,nagC,b0676
CDS:b0707:ybgA:DUF1722_family_protein:cds695:+:509:NC_000913.3,WT0_WT30,ybgA,b0707
CDS:b0726:sucA:2-oxoglutarate_decarboxylase%2C_thiamine_triphosphate-binding:cds713:+:2801:NC_000913.3,WT0_WT30,sucA,b0726
CDS:b0727:sucB:dihydrolipoyltranssuccinase:cds714:+:1217:NC_000913.3,WT0_WT30,sucB,b0727
"IGR:(CDS,b0727,sucB,dihydrolipoyltranssuccinase,cds714,+,1217/CDS,b0728,sucC,succinyl-CoA_synthetase%2C_beta_subunit,cds715,+,1166):+:223:NC_000913.3",WT0_WT30,NA,NA
CDS:b0728:sucC:succinyl-CoA_synthetase%2C_beta_subunit:cds715:+:1166:NC_000913.3,WT0_WT30,sucC,b0728
CDS:b0729:sucD:succinyl-CoA_synthetase%2C_NADP-binding%2C_alpha_subunit:cds716:+:869:NC_000913.3,WT0_WT30,sucD,b0729
"IGR:(CDS,b0729,sucD,succinyl-CoA_synthetase%2C_NADP-binding%2C_alpha_subunit,cds716,+,869/CDS,b0730,mngR,transcriptional_repressor_for_the_mannosyl-D-glycerate_catabolic_operon,cds717,-,722):+:42:NC_000913.3",WT0_WT30,NA,NA
AS_CDS:b0730:mngR:transcriptional_repressor_for_the_mannosyl-D-glycerate_catabolic_operon:cds717:-:722:NC_000913.3,WT0_WT30,mngR,b0730
CDS:b0756:galM:aldose_1-epimerase%3B_type-1_mutarotase%3B_galactose_mutarotase:cds737:-:1040:NC_000913.3,WT0_WT30,galM,b0756
CDS:b0757:galK:galactokinase:cds738:-:1148:NC_000913.3,WT0_WT30,galK,b0757
CDS:b0764:modB:molybdate_ABC_transporter_permease%3B_chlorate_resistance_protein:cds745:+:689:NC_000913.3,WT0_WT30,modB,b0764
"AS_IGR:(CDS,b0810,glnP,glutamine_transporter_subunit,cds791,-,659/CDS,b0811,glnH,glutamine_transporter_subunit,cds792,-,746):+:87:NC_000913.3",WT0_WT30,NA,NA
CDS:b0811:glnH:glutamine_transporter_subunit:cds792:-:746:NC_000913.3,WT0_WT30,glnH,b0811
CDS:b0812:dps:Fe-binding_and_storage_protein%3B_stress-inducible_DNA-binding_protein:cds793:-:503:NC_000913.3,WT0_WT30,dps,b0812
"AS_IGR:(CDS,b0812,dps,Fe-binding_and_storage_protein%3B_stress-inducible_DNA-binding_protein,cds793,-,503/CDS,b0813,rhtA,threonine_and_homoserine_efflux_system,cds794,-,887):+:247:NC_000913.3",WT0_WT30,NA,NA
"IGR:(CDS,b0813,rhtA,threonine_and_homoserine_efflux_system,cds794,-,887/CDS,b0814,ompX,outer_membrane_protein_X,cds795,+,515):+:311:NC_000913.3",WT0_WT30,NA,NA
CDS:b0839:dacC:D-alanyl-D-alanine_carboxypeptidase%3B_penicillin-binding_protein_6a:cds820:+:1202:NC_000913.3,WT0_WT30,dacC,b0839
AS_CDS:b0882:clpA:ATPase_and_specificity_subunit_of_ClpA-ClpP_ATP-dependent_serine_protease%2C_chaperone_activity:cds863:+:2276:NC_000913.3,WT0_WT30,clpA,b0882
"AS_IGR:(CDS,b0882,clpA,ATPase_and_specificity_subunit_of_ClpA-ClpP_ATP-dependent_serine_protease%2C_chaperone_activity,cds863,+,2276/tRNA,b0883,ID,serW,tRNA-Ser,id137,-,87):+:312:NC_000913.3",WT0_WT30,NA,NA
CDS:b0897:ycaC:putative_isochorismatase_family_hydrolase:cds877:-:626:NC_000913.3,WT0_WT30,ycaC,b0897
CDS:b0906:ycaP:UPF0702_family_putative_inner_membrane_protein:cds886:+:692:NC_000913.3,WT0_WT30,ycaP,b0906
"AS_IGR:(CDS,b0927,ycbL,putative_metal-binding_enzyme,cds907,+,647/CDS,b0928,aspC,aspartate_aminotransferase%2C_PLP-dependent,cds908,-,1190):+:160:NC_000913.3",WT0_WT30,NA,NA
CDS:b0928:aspC:aspartate_aminotransferase%2C_PLP-dependent:cds908:-:1190:NC_000913.3,WT0_WT30,aspC,b0928
CDS:b0953:rmf:ribosome_modulation_factor:cds933:+:167:NC_000913.3,WT0_WT30,rmf,b0953
CDS:b0970:yccA:Modulator_of_FtsH_protease%2C_inner_membrane_protein:cds950:-:659:NC_000913.3,WT0_WT30,yccA,b0970
CDS:b1002:agp:glucose-1-phosphatase/inositol_phosphatase:cds984:+:1241:NC_000913.3,WT0_WT30,agp,b1002
AS_CDS:b1003:yccJ:uncharacterized_protein:cds985:-:227:NC_000913.3,WT0_WT30,yccJ,b1003
CDS:b1004:wrbA:NADPH:quinone_oxidoreductase:cds986:-:596:NC_000913.3,WT0_WT30,wrbA,b1004
AS_CDS:b1026:insF1:IS3_transposase_B:cds1007:-:866:NC_000913.3,WT0_WT30,insF1,b1026
AS_mobile_genetic_element:-:-:-:id151:-:1257:NC_000913.3,WT0_WT30,NA,NA
CDS:b1033:ghrA:glyoxylate/hydroxypyruvate_reductase_A:cds1011:+:938:NC_000913.3,WT0_WT30,ghrA,b1033
CDS:b1034:ycdX:alkaline_phosphatase:cds1012:+:737:NC_000913.3,WT0_WT30,ycdX,b1034
CDS:b1035:ycdY:redox_enzyme_maturation_protein_REMP_chaperone_for_YcdX:cds1013:+:554:NC_000913.3,WT0_WT30,ycdY,b1035
CDS:b1036:ycdZ:DUF1097_family_inner_membrane_protein:cds1014:+:491:NC_000913.3,WT0_WT30,ycdZ,b1036
AS_CDS:b1037:csgG:curli_production_assembly/transport_outer_membrane_lipoprotein:cds1015:-:833:NC_000913.3,WT0_WT30,csgG,b1037
CDS:b1056:yceI:periplasmic_high_pH-inducible_lipid-binding_protein:cds1033:-:575:NC_000913.3,WT0_WT30,yceI,b1056
CDS:b1057:yceJ:putative_cytochrome_b561:cds1034:-:566:NC_000913.3,WT0_WT30,yceJ,b1057
AS_CDS:b1057:yceJ:putative_cytochrome_b561:cds1034:-:566:NC_000913.3,WT0_WT30,yceJ,b1057
CDS:b1064:grxB:glutaredoxin_2_Grx2:cds1041:-:647:NC_000913.3,WT0_WT30,grxB,b1064
AS_CDS:b1100:ycfH:putative_DNase:cds1077:+:797:NC_000913.3,WT0_WT30,ycfH,b1100
"IGR:(CDS,b1100,ycfH,putative_DNase,cds1077,+,797/CDS,b1101,ptsG,fused_glucose-specific_PTS_enzymes,_IIB_component/IIC_component,cds1078,+,1433):+:243:NC_000913.3",WT0_WT30,NA,NA
CDS:b1101:ptsG:fused_glucose-specific_PTS_enzymes:_IIB_component/IIC_component:cds1078:+:1433:NC_000913.3,WT0_WT30,ptsG,b1101
AS_CDS:b1101:ptsG:fused_glucose-specific_PTS_enzymes:_IIB_component/IIC_component:cds1078:+:1433:NC_000913.3,WT0_WT30,ptsG,b1101
AS_CDS:b1102:fhuE:ferric-rhodotorulic_acid_outer_membrane_transporter:cds1079:-:2189:NC_000913.3,WT0_WT30,fhuE,b1102
CDS:b1104:ycfL:uncharacterized_protein:cds1081:+:377:NC_000913.3,WT0_WT30,ycfL,b1104
CDS:b1110:ycfJ:uncharacterized_protein:cds1087:+:539:NC_000913.3,WT0_WT30,ycfJ,b1110
CDS:b1112:bhsA:biofilm%2C_cell_surface_and_signaling_protein:cds1089:+:257:NC_000913.3,WT0_WT30,bhsA,b1112
CDS:b1113:ldtC:L%2CD-transpeptidase_linking_Lpp_to_murein:cds1090:-:962:NC_000913.3,WT0_WT30,ldtC,b1113
CDS:b1219:ychN:putative_sulfur_relay_protein:cds1202:-:353:NC_000913.3,WT0_WT30,ychN,b1219
CDS:b1223:narK:nitrate/nitrite_transporter:cds1206:+:1391:NC_000913.3,WT0_WT30,narK,b1223
CDS:b1224:narG:nitrate_reductase_1%2C_alpha_subunit:cds1207:+:3743:NC_000913.3,WT0_WT30,narG,b1224
CDS:b1308:pspE:thiosulfate:cyanide_sulfurtransferase_rhodanese:cds1292:+:314:NC_000913.3,WT0_WT30,pspE,b1308
"IGR:(CDS,b1308,pspE,thiosulfate,cyanide_sulfurtransferase_rhodanese,cds1292,+,314/CDS,b1309,ycjM,alpha_amylase_catalytic_domain_family_protein,cds1293,+,1679):+:161:NC_000913.3",WT0_WT30,NA,NA
CDS:b1312:ycjP:putative_sugar_ABC_transporter_permease:cds1296:+:842:NC_000913.3,WT0_WT30,ycjP,b1312
CDS:b1344:ttcA:tRNA_s2C32_thioltransferase%2C_iron_sulfur_cluster_protein:cds1330:-:935:NC_000913.3,WT0_WT30,ttcA,b1344
CDS:b1376:uspF:stress-induced_protein%2C_ATP-binding_protein:cds1362:-:434:NC_000913.3,WT0_WT30,uspF,b1376
"AS_IGR:(CDS,b1376,uspF,stress-induced_protein%2C_ATP-binding_protein,cds1362,-,434/CDS,b1377,ompN,outer_membrane_pore_protein_N%2C_non-specific,cds1363,-,1133):+:89:NC_000913.3",WT0_WT30,NA,NA
CDS:b1379:hslJ:heat-inducible_lipoprotein_involved_in_novobiocin_resistance:cds1366:-:422:NC_000913.3,WT0_WT30,hslJ,b1379
"AS_IGR:(CDS,b1379,hslJ,heat-inducible_lipoprotein_involved_in_novobiocin_resistance,cds1366,-,422/CDS,b1380,ldhA,fermentative_D-lactate_dehydrogenase%2C_NAD-dependent,cds1367,-,989):+:59:NC_000913.3",WT0_WT30,NA,NA
AS_CDS:b1419:ydcA:putative_periplasmic_protein:cds1405:+:173:NC_000913.3,WT0_WT30,ydcA,b1419
"AS_IGR:(CDS,b1419,ydcA,putative_periplasmic_protein,cds1405,+,173/CDS,b4428,hokB,toxic_polypeptide%2C_small,cds1406,-,149):+:10:NC_000913.3",WT0_WT30,NA,NA
CDS:b4428:hokB:toxic_polypeptide%2C_small:cds1406:-:149:NC_000913.3,WT0_WT30,hokB,b4428
CDS:b1420:mokB:regulatory_peptide:cds1407:-:167:NC_000913.3,WT0_WT30,mokB,b1420
"AS_ncRNA:b4429,ID:sokB:sRNA_antisense_regulator_blocking_mokB%2C_and_hence_hokB%2C_translation:id193:+:55:NC_000913.3",WT0_WT30,NA,NA
"AS_IGR:(ncRNA,b4429,ID,sokB,sRNA_antisense_regulator_blocking_mokB%2C_and_hence_hokB%2C_translation,id193,+,55/CDS,b1421,trg,methyl-accepting_chemotaxis_protein_III%2C_ribose_and_galactose_sensor_receptor,cds1408,+,1640):+:274:NC_000913.3",WT0_WT30,NA,NA
CDS:b1424:opgD:OPG_biosynthetic_periplasmic_protein:cds1411:+:1655:NC_000913.3,WT0_WT30,opgD,b1424
CDS:b1431:ydcL:lipoprotein:cds1417:+:668:NC_000913.3,WT0_WT30,ydcL,b1431
"IGR:(CDS,b1445,ydcX,DUF2566_family_protein,cds1433,+,173/CDS,b1446,ydcY,DUF2526_family_protein,cds1434,+,233):+:34:NC_000913.3",WT0_WT30,NA,NA
AS_CDS:b1450:mcbR:colanic_acid_and_biofilm_gene_transcriptional_regulator%2C_MqsR-controlled:cds1438:+:665:NC_000913.3,WT0_WT30,mcbR,b1450
CDS:b1451:yncD:putative_iron_outer_membrane_transporter:cds1439:-:2102:NC_000913.3,WT0_WT30,yncD,b1451
CDS:b1453:ansP:L-asparagine_transporter:cds1441:-:1499:NC_000913.3,WT0_WT30,ansP,b1453
CDS:b1482:osmC:lipoyl-dependent_Cys-based_peroxidase%2C_hydroperoxide_resistance%3B_salt-shock_inducible_membrane_protein%3B_peroxiredoxin:cds1468:+:431:NC_000913.3,WT0_WT30,osmC,b1482
AS_CDS:b1491:yddW:liprotein%2C_glycosyl_hydrolase_homolog:cds1477:-:1319:NC_000913.3,WT0_WT30,yddW,b1491
CDS:b1497:ydeM:putative_YdeN-specific_sulfatase-maturating_enzyme:cds1483:-:1157:NC_000913.3,WT0_WT30,ydeM,b1497
CDS:b1498:ydeN:putative_Ser-type_periplasmic_non-aryl_sulfatase:cds1484:-:1682:NC_000913.3,WT0_WT30,ydeN,b1498
"AS_IGR:(CDS,b1498,ydeN,putative_Ser-type_periplasmic_non-aryl_sulfatase,cds1484,-,1682/CDS,b1499,ydeO,UV-inducible_global_regulator%2C_EvgA-%2C_GadE-dependent,cds1485,-,761):+:350:NC_000913.3",WT0_WT30,NA,NA
CDS:b1539:ydfG:NADP-dependent_3-hydroxy_acid_dehydrogenase%3B_malonic_semialdehyde_reductase:cds1525:+:746:NC_000913.3,WT0_WT30,ydfG,b1539
"IGR:(CDS,b1539,ydfG,NADP-dependent_3-hydroxy_acid_dehydrogenase%3B_malonic_semialdehyde_reductase,cds1525,+,746/CDS,b1540,rspR,transcriptional_repressor_for_rspAB,cds1526,+,686):+:37:NC_000913.3",WT0_WT30,NA,NA
sequence_feature:-:-:-:id204:-:20457:NC_000913.3,WT0_WT30,NA,NA
CDS:b1556:essQ:Qin_prophage%3B_putative_S_lysis_protein:cds1544:-:215:NC_000913.3,WT0_WT30,essQ,b1556
"AS_IGR:(CDS,b1556,essQ,Qin_prophage%3B_putative_S_lysis_protein,cds1544,-,215/CDS,b1557,cspB,Qin_prophage%3B_cold_shock_protein,cds1545,-,215):+:702:NC_000913.3",WT0_WT30,NA,NA
"IGR:(CDS,b1558,cspF,Qin_prophage%3B_cold_shock_protein,cds1546,+,212/CDS,b1559,quuQ,Qin_prophage%3B_putative_antitermination_protein_Q,cds1547,-,752):+:360:NC_000913.3",WT0_WT30,NA,NA
CDS:b1581:rspA:bifunctional_D-altronate/D-mannonate_dehydratase:cds1568:-:1214:NC_000913.3,WT0_WT30,rspA,b1581
CDS:b1586:ynfD:DUF1161_family_periplasmic_protein:cds1573:+:305:NC_000913.3,WT0_WT30,ynfD,b1586
"IGR:(CDS,b1586,ynfD,DUF1161_family_periplasmic_protein,cds1573,+,305/CDS,b1587,ynfE,putative_selenate_reductase%2C_periplasmic,cds1574,+,2426):+:147:NC_000913.3",WT0_WT30,NA,NA
"AS_IGR:(CDS,b1594,mlc,glucosamine_anaerobic_growth_regulon_transcriptional_repressor%3B_autorepressor,cds1581,-,1220/CDS,b1595,ynfL,LysR_family_putative_transcriptional_regulator,cds1582,-,893):+:83:NC_000913.3",WT0_WT30,NA,NA
CDS:b1619:hdhA:7-alpha-hydroxysteroid_dehydrogenase%2C_NAD-dependent:cds1607:-:767:NC_000913.3,WT0_WT30,hdhA,b1619
CDS:b1651:gloA:glyoxalase_I%2C_Ni-dependent:cds1640:+:407:NC_000913.3,WT0_WT30,gloA,b1651
CDS:b1693:aroD:3-dehydroquinate_dehydratase:cds1681:+:758:NC_000913.3,WT0_WT30,aroD,b1693
AS_CDS:b1701:fadK:short_chain_acyl-CoA_synthetase%2C_anaerobic:cds1689:+:1646:NC_000913.3,WT0_WT30,fadK,b1701
CDS:b1702:ppsA:phosphoenolpyruvate_synthase:cds1690:-:2378:NC_000913.3,WT0_WT30,ppsA,b1702
"AS_IGR:(CDS,b1702,ppsA,phosphoenolpyruvate_synthase,cds1690,-,2378/CDS,b1703,ppsR,PEP_synthase_kinase_and_PEP_synthase_pyrophosphorylase,cds1691,+,833):+:291:NC_000913.3",WT0_WT30,NA,NA
CDS:b1703:ppsR:PEP_synthase_kinase_and_PEP_synthase_pyrophosphorylase:cds1691:+:833:NC_000913.3,WT0_WT30,ppsR,b1703
AS_CDS:b1725:yniA:fructosamine_kinase_family_protein:cds1713:+:860:NC_000913.3,WT0_WT30,yniA,b1725
"AS_IGR:(CDS,b1748,astC,succinylornithine_transaminase%2C_PLP-dependent,cds1736,-,1220/CDS,b1749,xthA,exonuclease_III,cds1737,+,806):+:404:NC_000913.3",WT0_WT30,NA,NA
CDS:b1793:yoaF:DUF333_family_outer_membrane_lipoprotein:cds1781:-:254:NC_000913.3,WT0_WT30,yoaF,b1793
CDS:b1814:sdaA:L-serine_dehydratase_1:cds1804:+:1364:NC_000913.3,WT0_WT30,sdaA,b1814
"IGR:(CDS,b1816,yoaE,putative_membrane_protein/conserved_protein,cds1806,-,1556/CDS,b1817,manX,fused_mannose-specific_PTS_enzymes,_IIA_component/IIB_component,cds1807,+,971):+:421:NC_000913.3",WT0_WT30,NA,NA
CDS:b1817:manX:fused_mannose-specific_PTS_enzymes:_IIA_component/IIB_component:cds1807:+:971:NC_000913.3,WT0_WT30,manX,b1817
CDS:b1823:cspC:stress_protein%2C_member_of_the_CspA-family:cds1813:-:209:NC_000913.3,WT0_WT30,cspC,b1823
CDS:b1824:yobF:DUF2527_family_heat-induced_protein:cds1814:-:143:NC_000913.3,WT0_WT30,yobF,b1824
"AS_IGR:(CDS,b1824,yobF,DUF2527_family_heat-induced_protein,cds1814,-,143/CDS,b1825,yebO,putative_inner_membrane_protein,cds1815,-,287):+:618:NC_000913.3",WT0_WT30,NA,NA
"IGR:(CDS,b1853,yebK,putative_DNA-binding_transcriptional_regulator,cds1844,+,869/CDS,b1854,pykA,pyruvate_kinase_II,cds1845,+,1442):+:76:NC_000913.3",WT0_WT30,NA,NA
CDS:b1854:pykA:pyruvate_kinase_II:cds1845:+:1442:NC_000913.3,WT0_WT30,pykA,b1854
"IGR:(CDS,b1854,pykA,pyruvate_kinase_II,cds1845,+,1442/CDS,b1855,lpxM,myristoyl-acyl_carrier_protein_ACP-dependent_acyltransferase,cds1846,-,971):+:69:NC_000913.3",WT0_WT30,NA,NA
AS_CDS:b1855:lpxM:myristoyl-acyl_carrier_protein_ACP-dependent_acyltransferase:cds1846:-:971:NC_000913.3,WT0_WT30,lpxM,b1855
CDS:b1897:otsB:trehalose-6-phosphate_phosphatase%2C_biosynthetic:cds1889:-:800:NC_000913.3,WT0_WT30,otsB,b1897
"IGR:(CDS,b1901,araF,L-arabinose_ABC_transporter_periplasmic_binding_protein,cds1892,-,989/CDS,b1902,ftnB,ferritin_B%2C_putative_ferrous_iron_reservoir,cds1893,+,503):+:755:NC_000913.3",WT0_WT30,NA,NA
CDS:b1902:ftnB:ferritin_B%2C_putative_ferrous_iron_reservoir:cds1893:+:503:NC_000913.3,WT0_WT30,ftnB,b1902
"AS_IGR:(CDS,b1974,yodB,cytochrome_b561_homolog,cds1958,+,530/tRNA,b1975,ID,serU,tRNA-Ser,id238,-,89):+:538:NC_000913.3",WT0_WT30,NA,NA
CDS:b1976:mtfA:anti-repressor_for_DgsAMlc:cds1959:+:797:NC_000913.3,WT0_WT30,mtfA,b1976
CDS:b1985:yeeO:putative_multdrug_exporter%2C_MATE_family:cds1965:-:1487:NC_000913.3,WT0_WT30,yeeO,b1985
AS_CDS:b2009:sbmC:DNA_gyrase_inhibitor:cds1991:-:473:NC_000913.3,WT0_WT30,sbmC,b2009
CDS:b2067:yegE:putative_diguanylate_cyclase:cds2051:+:3317:NC_000913.3,WT0_WT30,yegE,b2067
"IGR:(CDS,b2067,yegE,putative_diguanylate_cyclase,cds2051,+,3317/CDS,b2068,alkA,3-methyl-adenine_DNA_glycosylase_II,cds2052,-,848):+:47:NC_000913.3",WT0_WT30,NA,NA
CDS:b2069:yegD:Hsp70_chaperone_family_protein:cds2053:+:1352:NC_000913.3,WT0_WT30,yegD,b2069
CDS:b2086:yegS:phosphatidylglycerol_kinase%2C_metal-dependent:cds2071:+:899:NC_000913.3,WT0_WT30,yegS,b2086
AS_mobile_genetic_element:-:-:-:id260:+:1257:NC_000913.3,WT0_WT30,NA,NA
AS_CDS:b2089:insF1:IS3_transposase_B:cds2074:+:866:NC_000913.3,WT0_WT30,insF1,b2089
CDS:b4498:gatR:-:cds2072:-:298:NC_000913.3,WT0_WT30,gatR,b4498
"AS_IGR:(CDS,b4498,gatR,-,cds2072,-,298/CDS,b2091,gatD,galactitol-1-phosphate_dehydrogenase%2C_Zn-dependent_and_NADP-binding,cds2075,-,1040):+:54:NC_000913.3",WT0_WT30,NA,NA
CDS:b2091:gatD:galactitol-1-phosphate_dehydrogenase%2C_Zn-dependent_and_NADP-binding:cds2075:-:1040:NC_000913.3,WT0_WT30,gatD,b2091
AS_CDS:b2091:gatD:galactitol-1-phosphate_dehydrogenase%2C_Zn-dependent_and_NADP-binding:cds2075:-:1040:NC_000913.3,WT0_WT30,gatD,b2091
CDS:-:gatC:-:cds2076:-:441:NC_000913.3,WT0_WT30,gatC,NA
AS_CDS:-:gatC:-:cds2076:-:441:NC_000913.3,WT0_WT30,gatC,NA
gene:b2092:gatC:-:gene2147:-:1357:NC_000913.3,WT0_WT30,NA,NA
AS_gene:b2092:gatC:-:gene2147:-:1357:NC_000913.3,WT0_WT30,NA,NA
CDS:-:gatC:-:cds2076:-:913:NC_000913.3,WT0_WT30,gatC,NA
AS_CDS:-:gatC:-:cds2076:-:913:NC_000913.3,WT0_WT30,gatC,NA
CDS:b2093:gatB:galactitol-specific_enzyme_IIB_component_of_PTS:cds2077:-:284:NC_000913.3,WT0_WT30,gatB,b2093
AS_CDS:b2093:gatB:galactitol-specific_enzyme_IIB_component_of_PTS:cds2077:-:284:NC_000913.3,WT0_WT30,gatB,b2093
