Pathway Id	Pathway	Unique Gene Count	Genes	
PWY1V8-9	Succinate and Acetate/Acetyl CoA metabolism	9	Tb927.10.15410 | Tb927.10.1570 | Tb927.11.6280 | Tb927.11.7480 | Tb927.2.4210 | Tb927.3.4500 | Tb927.5.930 | Tb927.6.2790 | Tb927.8.6060	
RIB-DRIBMET-PWY	superpathway of ribose and deoxyribose phosphate degradation	2	Tb927.11.1020 | Tb927.8.6170	
RIBOKIN-PWY	ribose degradation	1	Tb927.11.1020	
RUMP-PWY	formaldehyde oxidation I	1	Tb927.1.3830	
SPHINGOLIPID-SYN-PWY-1	sphingolipid biosynthesis	1	Tb927.10.4040	
TCA	TCA cycle I (prokaryotic)	4	Tb927.10.13430 | Tb927.10.15410 | Tb927.11.900 | Tb927.3.4500	
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	4	Tb927.10.13430 | Tb927.10.15410 | Tb927.11.900 | Tb927.3.4500	
THREONINE-DEG2-PWY	threonine degradation II	2	Tb927.6.2790 | Tb927.8.6060	
TRIGLSYN-PWY	triacylglycerol biosynthesis	4	Tb927.10.13400 | Tb927.10.13700 | Tb927.10.13930 | Tb927.10.15910	
UDPNAGSYN-PWY-1	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	1	Tb927.1.3830	
VALDEG-PWY	valine degradation I	2	Tb927.2.4590 | Tb927.6.1570	
